product_category_tree,retail_price,discounted_price,brand,discount_percent
"[""Clothing >> Women's Clothing >> Lingerie, Sleep & Swimwear >> Shorts >> Alisha Shorts >> Alisha Solid Women's Cycling Shorts""]",999.0,379.0,Alisha,62.06206206206206
"[""Furniture >> Living Room Furniture >> Sofa Beds & Futons >> FabHomeDecor Fabric Double Sofa Bed (Finish Colo...""]",32157.0,22646.0,FabHomeDecor,29.576764001617068
"[""Footwear >> Women's Footwear >> Ballerinas >> AW Bellies""]",999.0,499.0,AW,50.050050050050054
"[""Clothing >> Women's Clothing >> Lingerie, Sleep & Swimwear >> Shorts >> Alisha Shorts >> Alisha Solid Women's Cycling Shorts""]",699.0,267.0,Alisha,61.80257510729614
"[""Pet Supplies >> Grooming >> Skin & Coat Care >> Shampoo >> Sicons All Purpose Arnica Dog Shampoo (500 ml)""]",220.0,210.0,Sicons,4.545454545454546
"[""Eternal Gandhi Super Series Crystal Paper Weight...""]",430.0,430.0,Eternal Gandhi,0.0
"[""Clothing >> Women's Clothing >> Lingerie, Sleep & Swimwear >> Shorts >> Alisha Shorts >> Alisha Solid Women's Cycling Shorts""]",1199.0,479.0,Alisha,60.05004170141785
"[""Furniture >> Living Room Furniture >> Sofa Beds & Futons >> FabHomeDecor Fabric Double Sofa Bed (Finish Colo...""]",32157.0,22646.0,FabHomeDecor,29.576764001617068
"[""Footwear >> Women's Footwear >> Ballerinas >> dilli bazaaar Bellies, Corporate Casuals, Casuals""]",699.0,349.0,dilli bazaaar,50.07153075822603
"[""Clothing >> Women's Clothing >> Lingerie, Sleep & Swimwear >> Shorts >> Alisha Shorts >> Alisha Solid Women's Cycling Shorts""]",1199.0,479.0,Alisha,60.05004170141785
"[""Footwear >> Women's Footwear >> Ballerinas >> Ladela Bellies""]",1724.0,950.0,Ladela,44.895591647331784
"[""Clothing >> Women's Clothing >> Sports & Gym Wear >> Swimsuits >> Carrel Swimsuits >> Carrel Printed Women's""]",2299.0,910.0,Carrel,60.41757285776425
"[""Clothing >> Women's Clothing >> Lingerie, Sleep & Swimwear >> Shorts >> Alisha Shorts >> Alisha Solid Women's Cycling Shorts""]",999.0,379.0,Alisha,62.06206206206206
"[""Pens & Stationery >> School Supplies >> Water Bottles >> Freelance Water Bottles >> Freelance Vacuum Bottles 350 ml Bottle (Pack of ...""]",699.0,699.0,Freelance,0.0
"[""Clothing >> Women's Clothing >> Lingerie, Sleep & Swimwear >> Shorts >> Alisha Shorts >> Alisha Solid Women's Cycling Shorts""]",999.0,379.0,Alisha,62.06206206206206
"[""Furniture >> Living Room Furniture >> Sofa Beds & Futons >> FabHomeDecor Fabric Double Sofa Bed (Finish Colo...""]",32157.0,22646.0,FabHomeDecor,29.576764001617068
